model,variable,n,raw_acc,cohen_kappa,F1_pos,acc@2018,acc@2019,acc@2020,acc@2021,acc@2022,acc@2023,acc@2024,verdict,fail_note
qwen2.5:14b,ecg_normal,561,0.995,0.989,0.993,0.987,0.987,1.0,1.0,0.986,1.0,1.0,PASS,
qwen2.5:14b,ecg_af,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
qwen2.5:14b,ecg_pac_pvc,570,0.998,0.982,0.983,1.0,1.0,1.0,1.0,0.986,1.0,1.0,PASS,
qwen2.5:14b,ecg_stt,568,0.993,0.98,0.985,0.987,0.974,1.0,1.0,0.986,1.0,1.0,PASS,
qwen2.5:14b,ecg_avblock,569,0.989,0.93,0.936,0.974,1.0,1.0,0.988,0.986,0.988,0.99,PASS,
qwen2.5:14b,ecg_bbb,570,0.998,0.988,0.989,1.0,1.0,1.0,1.0,1.0,1.0,0.99,PASS,
qwen2.5:14b,ecg_rate,570,0.988,0.925,0.932,1.0,0.987,0.975,1.0,0.986,0.988,0.98,PASS,
qwen2.5:14b,ecg_srirr,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
qwen2.5:14b,ecg_axis,570,0.996,0.968,0.97,0.987,1.0,1.0,1.0,0.986,1.0,1.0,PASS,
qwen2.5:14b,ecg_qwave_mi,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
qwen2.5:14b,ecg_other,570,0.961,0.674,0.694,0.974,0.962,0.937,0.976,0.915,0.988,0.97,FAIL,kappa=0.674;F1=0.694
qwen2.5:14b,ecg_unreadable,570,0.998,0.979,0.98,1.0,1.0,1.0,1.0,1.0,0.988,1.0,PASS,
qwen2.5:14b,_SUMMARY_,570,,,,,,,,,,,11/12 PASS,
qwen2.5:7b,ecg_normal,561,0.996,0.993,0.996,1.0,1.0,1.0,1.0,0.986,1.0,0.989,PASS,
qwen2.5:7b,ecg_af,570,0.993,0.963,1.0,0.961,0.987,1.0,1.0,1.0,1.0,1.0,PASS,
qwen2.5:7b,ecg_pac_pvc,570,0.988,0.879,0.877,0.961,0.987,1.0,0.988,0.972,1.0,1.0,FAIL,F1=0.877
qwen2.5:7b,ecg_stt,568,0.979,0.939,0.953,0.947,0.949,1.0,0.988,0.972,1.0,0.99,PASS,
qwen2.5:7b,ecg_avblock,569,0.995,0.964,0.967,1.0,1.0,1.0,0.988,0.986,0.988,1.0,PASS,
qwen2.5:7b,ecg_bbb,570,0.986,0.907,0.915,0.947,1.0,1.0,0.988,0.986,0.988,0.99,PASS,
qwen2.5:7b,ecg_rate,570,0.982,0.877,0.886,0.974,0.987,0.975,0.976,0.972,1.0,0.99,FAIL,F1=0.886
qwen2.5:7b,ecg_srirr,570,0.998,0.962,0.963,1.0,1.0,1.0,1.0,1.0,1.0,0.99,PASS,
qwen2.5:7b,ecg_axis,570,0.984,0.834,0.842,0.987,1.0,0.975,0.988,0.972,0.988,0.98,FAIL,F1=0.842
qwen2.5:7b,ecg_qwave_mi,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
qwen2.5:7b,ecg_other,570,0.932,0.125,0.133,0.895,0.923,0.937,0.952,0.901,0.976,0.931,FAIL,kappa=0.125;F1=0.133;acc=0.932;layer:2018=0.895
qwen2.5:7b,ecg_unreadable,570,0.986,0.793,0.8,1.0,1.0,1.0,1.0,1.0,0.902,1.0,FAIL,kappa=0.793;F1=0.800
qwen2.5:7b,_SUMMARY_,570,,,,,,,,,,,7/12 PASS,
glm4:9b,ecg_normal,561,0.986,0.97,0.983,0.961,1.0,1.0,1.0,1.0,0.988,0.957,PASS,
glm4:9b,ecg_af,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
glm4:9b,ecg_pac_pvc,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
glm4:9b,ecg_stt,568,0.984,0.955,0.965,0.973,0.974,1.0,1.0,0.944,0.988,1.0,PASS,
glm4:9b,ecg_avblock,569,0.933,0.665,0.698,0.934,0.962,0.924,0.964,0.859,0.938,0.941,FAIL,kappa=0.665;F1=0.698;acc=0.933;layer:2022=0.859
glm4:9b,ecg_bbb,570,0.986,0.902,0.909,0.987,1.0,0.962,0.988,0.986,1.0,0.98,PASS,
glm4:9b,ecg_rate,570,0.975,0.831,0.844,1.0,1.0,0.962,1.0,0.958,0.988,0.931,FAIL,F1=0.844
glm4:9b,ecg_srirr,570,0.998,0.962,0.963,1.0,1.0,1.0,1.0,1.0,0.988,1.0,PASS,
glm4:9b,ecg_axis,570,0.967,0.715,0.732,0.961,0.962,0.987,0.976,0.958,0.951,0.97,FAIL,kappa=0.715;F1=0.732
glm4:9b,ecg_qwave_mi,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,
glm4:9b,ecg_other,570,0.933,0.337,0.367,0.908,0.897,0.937,0.964,0.915,0.963,0.941,FAIL,kappa=0.337;F1=0.367;acc=0.933;layer:2019=0.897
glm4:9b,ecg_unreadable,570,0.972,0.489,0.5,1.0,1.0,1.0,1.0,1.0,0.805,1.0,FAIL,kappa=0.489;F1=0.500;layer:2023=0.805
glm4:9b,_SUMMARY_,570,,,,,,,,,,,7/12 PASS,
